id,date,commodity,unit,min,max,avg
216,2026-01-03,अदुवा,के.जी.,60.0,80.0,70.0
217,2026-01-03,अनार,के.जी.,300.0,350.0,325.0
218,2026-01-03,अमला,के.जी,65.0,75.0,70.0
219,2026-01-03,आभोकाडो,के.जी,250.0,350.0,300.0
220,2026-01-03,आलु रातो(भारतीय),के जी,24.0,27.0,25.5
221,2026-01-03,आलु रातो(लाम्चो),के.जी.,25.0,32.0,29.43
222,2026-01-03,इमली,के.जी.,170.0,180.0,175.0
223,2026-01-03,काउली स्थानिय,के.जी.,50.0,70.0,58.33
224,2026-01-03,काक्रो(लोकल),के.जी.,90.0,110.0,102.5
225,2026-01-03,काक्रो(हाइब्रीड),के जी,40.0,50.0,45.0
226,2026-01-03,कागती,के.जी.,80.0,90.0,85.0
227,2026-01-03,किवि,केजी,250.0,350.0,300.0
228,2026-01-03,कुरीलो,के.जी.,2000.0,2400.0,2200.0
229,2026-01-03,केरा(नेपाली),दर्जन,180.0,200.0,190.0
230,2026-01-03,खुर्सानी हरियो(अकबरे),के जी,350.0,400.0,375.0
231,2026-01-03,खुर्सानी हरियो(बुलेट),के जी,110.0,120.0,115.0
232,2026-01-03,खुर्सानी हरियो(माछे),के जी,90.0,100.0,95.0
233,2026-01-03,खुर्सानी हरियो(लाम्चो),के जी,90.0,100.0,95.0
234,2026-01-03,खु्र्सानी सुकेको,के.जी.,380.0,420.0,400.0
235,2026-01-03,गाजर(तराई),केजी,55.0,65.0,60.0
236,2026-01-03,गाजर(लोकल),के.जी.,60.0,70.0,66.0
237,2026-01-03,गान्टे मूला,के.जी.,70.0,80.0,75.0
238,2026-01-03,गुन्दुक,के.जी.,350.0,400.0,375.0
239,2026-01-03,गोलभेडा ठूलो(नेपाली),के.जी.,100.0,120.0,110.0
240,2026-01-03,गोलभेडा ठूलो(भारतीय),केजी,110.0,120.0,115.0
241,2026-01-03,गोलभेडा सानो(टनेल),के जी,78.0,100.0,86.6
242,2026-01-03,गोलभेडा सानो(तराई),के जी,80.0,96.0,89.33
243,2026-01-03,गोलभेडा सानो(भारतीय),के जी,80.0,96.0,88.0
244,2026-01-03,गोलभेडा सानो(लोकल),के.जी.,70.0,90.0,76.0
245,2026-01-03,ग्याठ कोबी,के.जी.,70.0,85.0,77.5
